subject,age_group,experiment_name,sampling_condition,trial_type,label1,label2,image1,image2,image3,image4,image5,image6,image7,image8,choice_image,random_image,random_image1,random_image2,choice_label,random_label,random_label1,random_label2,target_image,target_label,is_right,trial_index
p738273,adults,Crossact_active_passive,passive,learning,beppo,tesser,stims/29.png,stims/9.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
p738273,adults,Crossact_active_passive,passive,learning,kita,tibble,stims/2.png,stims/8.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
p738273,adults,Crossact_active_passive,passive,learning,tesser,beppo,stims/29.png,stims/9.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
p738273,adults,Crossact_active_passive,passive,learning,pahvy,tibble,stims/1.png,stims/8.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
p738273,adults,Crossact_active_passive,passive,learning,manu,sibu,stims/14.png,stims/12.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
p738273,adults,Crossact_active_passive,passive,learning,noopy,tibble,stims/5.png,stims/8.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
p738273,adults,Crossact_active_passive,passive,selection,NA,NA,stims/14.png,stims/2.png,stims/29.png,stims/12.png,stims/8.png,stims/1.png,stims/9.png,stims/5.png,NA,NA,stims/29.png,stims/12.png,NA,NA,tesser,manu,NA,NA,NA,25
p738273,adults,Crossact_active_passive,passive,selection,NA,NA,stims/14.png,stims/2.png,stims/29.png,stims/12.png,stims/8.png,stims/1.png,stims/9.png,stims/5.png,NA,NA,stims/14.png,stims/8.png,NA,NA,sibu,tibble,NA,NA,NA,26
p738273,adults,Crossact_active_passive,passive,selection,NA,NA,stims/14.png,stims/2.png,stims/29.png,stims/12.png,stims/8.png,stims/1.png,stims/9.png,stims/5.png,NA,NA,stims/8.png,stims/29.png,NA,NA,tibble,tesser,NA,NA,NA,27
p738273,adults,Crossact_active_passive,passive,selection,NA,NA,stims/14.png,stims/2.png,stims/29.png,stims/12.png,stims/8.png,stims/1.png,stims/9.png,stims/5.png,NA,NA,stims/29.png,stims/5.png,NA,NA,tesser,noopy,NA,NA,NA,28
p738273,adults,Crossact_active_passive,passive,test,NA,NA,stims/8.png,stims/29.png,stims/1.png,stims/5.png,stims/9.png,stims/12.png,stims/14.png,stims/2.png,stims/29.png,NA,NA,NA,NA,NA,NA,NA,stims/29.png,tesser,1,29
p738273,adults,Crossact_active_passive,passive,test,NA,NA,stims/12.png,stims/29.png,stims/1.png,stims/14.png,stims/5.png,stims/2.png,stims/9.png,stims/8.png,stims/12.png,NA,NA,NA,NA,NA,NA,NA,stims/12.png,manu,1,30
p738273,adults,Crossact_active_passive,passive,test,NA,NA,stims/5.png,stims/29.png,stims/1.png,stims/9.png,stims/8.png,stims/14.png,stims/12.png,stims/2.png,stims/2.png,NA,NA,NA,NA,NA,NA,NA,stims/1.png,pahvy,0,31
p738273,adults,Crossact_active_passive,passive,test,NA,NA,stims/2.png,stims/29.png,stims/1.png,stims/8.png,stims/12.png,stims/9.png,stims/14.png,stims/5.png,stims/14.png,NA,NA,NA,NA,NA,NA,NA,stims/14.png,sibu,1,32
